----------------- ----------------- Fz 1
... ... Fs 1
O o DA0MS0 0.950254
tio tio NCMS000 1
Vernon vernon NP00000 1
voltou voltar VMIS3S0 1
a a SP 0.313151
sentar sentar VMN03S0 1
se se PP3CN00 1
, , Fc 1
respirando respirar VMG0000 1
como como CS 0.751351
um um DI0MS0 0.877848
rinoceronte rinoceronte NCMS000 1
exausto exausto AQ0MS00 0.860821
e e CC 0.999951
observando observar VMG0000 1
Harry harry NP00000 1
de de SP 1
perto perto RG 0.990196
por por SP 1
o o DA0MS0 1
canto canto NCMS000 0.97619
de de SP 1
os o DA0MP0 0.958022 o PD0MP00 0.021587 o PP3MPA0 0.0203911
seus seu DP3MPS 0.857735
olhos olho NCMP000 1
pequeninos pequenino AQ0MP00 0.453058
e e CC 0.999951
penetrantes penetrante AQ0CP00 1
. . Fp 1

Desde_que desde_que CS 1
Harry harry NP00000 1
regressara regressar VMIM1S0 0.5
para para SP 0.999444
as o DA0FP0 0.974798
férias féria NCFP000 0.5
de de SP 1
Verão verão NP00000 1
que que CS 0.398036
o o DA0MS0 0.950254
tio tio NCMS000 1
Vernon vernon NP00000 1
o o PP3MSA0 0.0183743
tratava tratar VMII3S0 0.504304
como_se como_se CS 1
ele ele PP3MS00 1
fosse fossar VMSP1S0 0.166324
uma um DI0FS0 0.903495
bomba bomba NCFS000 1
, , Fc 1
capaz capaz AQ0CS00 1
de de SP 1
explodir explodir VMN0000 0.529581
a a SP 0.313151
qualquer qualquer DI0CS0 0.881232
momento momento NCMS000 1
, , Fc 1
porque porque CS 1
Harry harry NP00000 1
não não RN 0.99985
era ser VMII1S0 0.331795
um um DI0MS0 0.877848
rapazinho rapazinho NCMS000 0.65
normal normal AQ0CS00 0.931818
. . Fp 1

Em em SP 1
a o DA0FS0 1
verdade verdade NCFS000 1
, , Fc 1
ele ele PP3MS00 1
era ser VMII1S0 0.331795
o o DA0MS0 0.950254
menos menos RG 0.831071
normal normal AQ0CS00 0.931818
que que PR0CN00 0.584265
é ser VMIP3S0 1
possível possível AQ0CS00 0.995495
imaginar imaginar VMN0000 0.328
. . Fp 1

Harry_Potter harry_potter NP00000 1
era ser VMII1S0 0.331795
um um DI0MS0 0.877848
feiticeiro feiticeiro NCMS000 0.432862
, , Fc 1
um um DI0MS0 0.877848
feiticeiro feiticeiro NCMS000 0.432862
que que PR0CN00 0.584265
acabara acabar VMIM1S0 0.333333
de de SP 1
concluir concluir VMN0000 0.329032
o o DA0MS0 0.950254
primeiro primeiro AO0MS00 0.722944
ano ano NCMS000 1
em em SP 1
a o DA0FS0 1
Escola_de_Magia escola_de_magia NP00000 1
e e CC 0.999951
Feitiçaria_de_Hogwarts feitiçaria_de_hogwarts NP00000 1
e e CC 0.999951
a o DA0FS0 0.675415
infelicidade infelicidade NCFS000 1
que que PR0CN00 0.584265
os o DA0MP0 0.958022
Dursleys dursleys NP00000 1
sentiam sentir VMII3P0 1
por por SP 1
ele ele PP3MS00 1
estar estar VMN0000 0.533333
lá lá RG 0.994505
em em SP 1
casa casa NCFS000 0.994169
não não RN 0.99985
era ser VMII1S0 0.331795
nada nada PI0CN00 0.904372
comparada comparar VMP00SF 0.992518
com com SP 1
a o DA0FS0 0.675415
de de SP 1
Harry harry NP00000 1
. . Fp 1

As o DA0FP0 0.974798
saudades saudade NCFP000 1
de de SP 1
Hogwarts hogwarts NP00000 1
eram ser VMII3P0 1
tão tão RG 1
intensas intenso AQ0FP00 1
que que PR0CN00 0.584265
se se PP3CN00 0.861659
assemelhavam assemelhar VMII3P0 1
a a SP 0.313151
uma um DI0FS0 0.903495
constante constante AQ0CS00 0.980769
dor dor NCFS000 1
em em SP 1
o o DA0MS0 1
estômago estômago NCMS000 1
. . Fp 1

Sentia sentir VMII3S0 0.533333
a o DA0FS0 0.675415
falta falta NCFS000 0.816239
de de SP 1
o o DA0MS0 0.950254 o PD0MS00 0.0313531 o PP3MSA0 0.0183743 o NCMS000 1.85412e-005
castelo castelo NCMS000 1
com com SP 1
as o DA0FP0 0.974798
suas seu DP3FSP 0.994048
passagens passagem NCFP000 1
secretas secreto AQ0FP00 0.517407
e e CC 0.999951
os o DA0MP0 0.958022
seus seu DP3MPS 0.857735
fantasmas fantasma NCMP000 1
, , Fc 1
de de SP 1
as o DA0FP0 0.974798 o PD0FP00 0.0142702 o PP3FPA0 0.0109322
aulas aula NCFP000 1
( ( Fpa 1
com com SP 1
excepção excepção NCFS000 1
talvez talvez RG 1
de de SP 1
as o DA0FP0 0.974798 o PD0FP00 0.0142702 o PP3FPA0 0.0109322
de de SP 1
Snape snape NP00000 1
, , Fc 1
o o DA0MS0 0.950254
professor professor NCMS000 1
de de SP 1
as o DA0FP0 0.974798 o PD0FP00 0.0142702 o PP3FPA0 0.0109322
poções poção NCFP000 1
) ) Fpt 1
, , Fc 1
de de SP 1
o o DA0MS0 0.950254 o PD0MS00 0.0313531 o PP3MSA0 0.0183743 o NCMS000 1.85412e-005
correio correio NCMS000 0.983871
a a SP 0.313151
chegar chegar VMN0000 0.305051
trazido trazer VMP00SM 0.99251
por por SP 1
as o DA0FP0 1
corujas coruja NCFP000 0.914011
, , Fc 1
de de SP 1
os o DA0MP0 0.958022 o PD0MP00 0.021587 o PP3MPA0 0.0203911
banquetes banquete NCMP000 1
em em SP 1
o o DA0MS0 1
salão salão NCMS000 1
nobre nobre AQ0CS00 0.667364
, , Fc 1
de de SP 1
as o DA0FP0 0.974798 o PD0FP00 0.0142702 o PP3FPA0 0.0109322
noites noite NCFP000 1
em em SP 1
as o DA0FP0 1
camas cama NCFP000 1
de de SP 1
dossel dossel NCCS000 1
em em SP 1
a o DA0FS0 1
camarata camarata NCFS000 1
de de SP 1
a o DA0FS0 0.675415 a SP 0.313151 o PP3FSA0 0.00613742 o PD0FS00 0.00514062 a NCMS000 0.000156639
torre torre NCFS000 0.669837
, , Fc 1
de de SP 1
as o DA0FP0 0.974798 o PD0FP00 0.0142702 o PP3FPA0 0.0109322
visitas visita NCFP000 0.914011
a a SP 0.313151
Hagrid hagrid NP00000 1
, , Fc 1
o o DA0MS0 0.950254
guarda guarda NCCS000 0.418919
de de SP 1
os o DA0MP0 0.958022 o PD0MP00 0.021587 o PP3MPA0 0.0203911
campos campo NCMP000 1
em em SP 1
a o DA0FS0 1
sua seu DP3FSS 0.929764
casinha casinha NCFS000 0.65
em em SP 1
o o DA0MS0 1
bosque bosque NCMS000 1
, , Fc 1
junto junto RG 0.984962
de de SP 1
a o DA0FS0 0.675415 a SP 0.313151 o PP3FSA0 0.00613742 o PD0FS00 0.00514062 a NCMS000 0.000156639
floresta floresta NCFS000 0.519335
proibida proibir VMP00SF 0.917585
e e CC 0.999951
, , Fc 1
principalmente principal RG 1
, , Fc 1
sentia sentir VMII3S0 0.533333
a o DA0FS0 0.675415
falta falta NCFS000 0.816239
de de SP 1
o o DA0MS0 0.950254 o PD0MS00 0.0313531 o PP3MSA0 0.0183743 o NCMS000 1.85412e-005
